word,sentiment
abandon,negative
abandoned,negative
abandons,negative
abducted,negative
abduction,negative
abductions,negative
abhor,negative
abhorred,negative
abhorrent,negative
abhors,negative
abilities,positive
ability,positive
aboard,positive
absentee,negative
absentees,negative
absolve,positive
absolved,positive
absolves,positive
absolving,positive
absorbed,positive
abuse,negative
abused,negative
abuses,negative
abusive,negative
accept,positive
accepted,positive
accepting,positive
accepts,positive
accident,negative
accidental,negative
accidentally,negative
accidents,negative
accomplish,positive
accomplished,positive
accomplishes,positive
accusation,negative
accusations,negative
accuse,negative
accused,negative
accuses,negative
accusing,negative
ache,negative
achievable,positive
aching,negative
acquit,positive
acquits,positive
acquitted,positive
acquitting,positive
acrimonious,negative
active,positive
adequate,positive
admire,positive
admired,positive
admires,positive
admiring,positive
admit,negative
admits,negative
admitted,negative
admonish,negative
admonished,negative
adopt,positive
adopts,positive
adorable,positive
adore,positive
adored,positive
adores,positive
advanced,positive
advantage,positive
advantages,positive
adventure,positive
adventures,positive
adventurous,positive
affected,negative
affection,positive
affectionate,positive
afflicted,negative
affronted,negative
afraid,negative
aggravate,negative
aggravated,negative
aggravates,negative
aggravating,negative
aggression,negative
aggressions,negative
aggressive,negative
aghast,negative
agog,positive
agonise,negative
agonised,negative
agonises,negative
agonising,negative
agonize,negative
agonized,negative
agonizes,negative
agonizing,negative
agree,positive
agreeable,positive
agreed,positive
agreement,positive
agrees,positive
alarm,negative
alarmed,negative
alarmist,negative
alarmists,negative
alas,negative
alert,negative
alienation,negative
alive,positive
allergic,negative
allow,positive
alone,negative
amaze,positive
amazed,positive
amazes,positive
amazing,positive
ambitious,positive
ambivalent,negative
amuse,positive
amused,positive
amusement,positive
amusements,positive
anger,negative
angers,negative
angry,negative
anguish,negative
anguished,negative
animosity,negative
annoy,negative
annoyance,negative
annoyed,negative
annoying,negative
annoys,negative
antagonistic,negative
anti,negative
anticipation,positive
anxiety,negative
anxious,negative
apathetic,negative
apathy,negative
apeshit,negative
apocalyptic,negative
apologise,negative
apologised,negative
apologises,negative
apologising,negative
apologize,negative
apologized,negative
apologizes,negative
apologizing,negative
apology,negative
appalled,negative
appalling,negative
appease,positive
appeased,positive
appeases,positive
appeasing,positive
applaud,positive
applauded,positive
applauding,positive
applauds,positive
applause,positive
appreciate,positive
appreciated,positive
appreciates,positive
appreciating,positive
appreciation,positive
apprehensive,negative
approval,positive
approved,positive
approves,positive
ardent,positive
arrest,negative
arrested,negative
arrests,negative
arrogant,negative
ashame,negative
ashamed,negative
ass,negative
assassination,negative
assassinations,negative
asset,positive
assets,positive
assfucking,negative
asshole,negative
astonished,positive
astound,positive
astounded,positive
astounding,positive
astoundingly,positive
astounds,positive
attack,negative
attacked,negative
attacking,negative
attacks,negative
attract,positive
attracted,positive
attracting,positive
attraction,positive
attractions,positive
attracts,positive
audacious,positive
authority,positive
avert,negative
averted,negative
averts,negative
avid,positive
avoid,negative
avoided,negative
avoids,negative
await,negative
awaited,negative
awaits,negative
award,positive
awarded,positive
awards,positive
awesome,positive
awful,negative
awkward,negative
axe,negative
axed,negative
backed,positive
backing,positive
backs,positive
bad,negative
badass,negative
badly,negative
bailout,negative
bamboozle,negative
bamboozled,negative
bamboozles,negative
ban,negative
banish,negative
bankrupt,negative
bankster,negative
banned,negative
bargain,positive
barrier,negative
bastard,negative
bastards,negative
battle,negative
battles,negative
beaten,negative
beatific,positive
beating,negative
beauties,positive
beautiful,positive
beautifully,positive
beautify,positive
belittle,negative
belittled,negative
beloved,positive
benefit,positive
benefits,positive
benefitted,positive
benefitting,positive
bereave,negative
bereaved,negative
bereaves,negative
