word,sentiment,weight,freq_corpus
abandoned,Negative,0.861,2
ability,Positive,1.029,4
able,Positive,1.712,39
absence,Positive,0.728,1
absolute,Positive,1.45,17
absolutely,Positive,1.659,33
absurd,Negative,0.861,2
abuse,Negative,1.288,10
accept,Positive,1.53,22
acceptable,Negative,1.139,6
acceptance,Positive,0.5,0
accepted,Positive,1.089,5
accepting,Positive,0.728,1
access,Positive,1.467,18
accessible,Positive,0.728,1
accident,Negative,0.5,0
accidentally,Negative,0.728,1
accidents,Negative,0.5,0
accommodation,Positive,0.955,3
according,Positive,1.029,4
account,Positive,1.316,11
accountable,Positive,0.5,0
accounts,Positive,1.089,5
accurate,Positive,1.089,5
accused,Negative,1.089,5
accuses,Negative,1.583,26
ache,Negative,0.728,1
ached,Negative,0.5,0
aches,Negative,0.5,0
achieve,Positive,1.089,5
achieved,Positive,0.728,1
achievement,Positive,0.728,1
aching,Negative,0.728,1
achy,Negative,0.728,1
acknowledge,Positive,1.183,7
acquire,Positive,0.861,2
acquired,Positive,0.955,3
act,Negative,1.288,10
acted,Negative,0.861,2
acting,Negative,1.029,4
action,Positive,1.595,27
actions,Positive,1.029,4
active,Positive,0.955,3
actively,Positive,0.955,3
activist,Negative,0.955,3
activists,Negative,0.861,2
activities,Positive,0.728,1
activity,Positive,0.955,3
actors,Negative,0.728,1
acts,Positive,0.5,0
actual,Ambiguous,1.45,17
actually,Ambiguous,0.5,0
acute,Negative,0.728,1
adapt,Positive,1.089,5
adapted,Positive,0.861,2
add,Positive,1.257,9
added,Positive,1.139,6
adding,Positive,0.955,3
addition,Positive,0.861,2
additional,Positive,0.861,2
address,Ambiguous,1.029,4
addressing,Ambiguous,0.728,1
adds,Positive,0.728,1
adequate,Positive,0.5,0
adhere,Positive,0.861,2
adjusted,Positive,0.5,0
admin,Positive,0.728,1
administer,Positive,0.5,0
administered,Negative,0.861,2
administering,Positive,0.5,0
administration,Negative,0.728,1
admission,Negative,0.5,0
admissions,Ambiguous,0.5,0
admit,Positive,1.139,6
admits,Positive,0.861,2
admitted,Positive,1.089,5
admitting,Positive,0.728,1
adopted,Positive,0.5,0
ads,Negative,0.728,1
adult,Positive,1.316,11
adults,Positive,1.183,7
advance,Positive,0.728,1
advantage,Positive,0.5,0
advent,Positive,0.728,1
adverse,Negative,1.222,8
advert,Negative,0.5,0
advertised,Negative,0.5,0
advertising,Negative,0.5,0
adverts,Negative,0.5,0
advice,Positive,1.39,14
advise,Positive,0.861,2
advised,Positive,0.861,2
advisers,Positive,0.5,0
advising,Positive,0.728,1
advisors,Positive,0.955,3
advisory,Positive,0.728,1
advocate,Positive,0.5,0
advocating,Positive,0.728,1
affairs,Ambiguous,0.955,3
affect,Negative,1.183,7
affected,Negative,1.139,6
affecting,Negative,0.5,0
affects,Negative,1.222,8
afford,Positive,0.861,2
afraid,Negative,1.45,17
aged,Ambiguous,1.183,7
agency,Positive,0.5,0
agenda,Ambiguous,1.431,16
agent,Ambiguous,0.955,3
aggressive,Negative,0.955,3
agree,Positive,1.618,29
agreed,Positive,0.955,3
agreeing,Positive,0.728,1
agreement,Positive,0.861,2
agrees,Positive,0.861,2
ahead,Positive,1.367,13
aid,Positive,0.861,2
aids,Negative,0.728,1
aim,Positive,0.5,0
ain't,Negative,1.183,7
airborne,Negative,0.728,1
alarm,Negative,0.5,0
alarming,Negative,0.5,0
alcohol,Negative,1.257,9
alert,Negative,0.728,1
alive,Positive,0.955,3
alleged,Negative,0.728,1
allegedly,Negative,0.5,0
allergic,Negative,0.861,2
allergies,Negative,0.5,0
allergy,Negative,0.5,0
alliance,Positive,0.955,3
allow,Positive,1.316,11
allowed,Positive,1.583,26
allowing,Positive,1.029,4
allows,Positive,0.728,1
alone,Negative,1.484,19
alongside,Positive,0.955,3
alpha,Negative,1.029,4
alright,Positive,0.728,1
alternative,Positive,0.955,3
although,Negative,1.316,11
always,Ambiguous,0.5,0
amazing,Positive,1.39,14
ambulance,Negative,0.861,2
amount,Ambiguous,1.183,7
amounts,Ambiguous,0.5,0
analogy,Positive,0.728,1
analysis,Positive,0.955,3
anecdotal,Negative,0.728,1
anger,Negative,1.183,7
angry,Negative,1.411,15
animal,Negative,0.955,3
animals,Negative,0.5,0
anniversary,Positive,0.5,0
announce,Positive,1.411,15
announced,Ambiguous,0.861,2
announcement,Positive,1.029,4
announces,Positive,0.861,2
