word,sentiment,weight,freq_corpus
abandoned,negative,1.549,165
ability,positive,1.854,732
able,positive,2.228,4547
absence,ambiguous,1.668,295
absolute,positive,2.062,2024
absolutely,positive,2.22,4364
absurd,negative,1.635,251
abuse,negative,1.866,776
accept,positive,2.045,1858
acceptable,positive,1.765,474
acceptance,positive,1.487,122
accepted,positive,1.788,530
accepting,positive,1.692,333
access,positive,2.131,2833
accessible,positive,1.588,200
accident,negative,1.568,181
accidentally,negative,1.534,153
accidents,negative,1.451,102
accommodation,positive,1.739,419
according,ambiguous,2.034,1765
account,positive,1.994,1449
accountable,positive,1.566,179
accounts,positive,1.762,467
accurate,positive,1.774,495
accused,negative,1.657,280
accuses,negative,1.611,224
ache,negative,1.718,378
ached,negative,1.419,87
aches,negative,1.797,555
achieve,positive,1.764,472
achieved,positive,1.745,430
achievement,positive,1.604,216
aching,negative,1.678,311
achy,negative,1.701,347
acknowledge,positive,1.692,332
acquire,positive,1.482,119
acquired,positive,1.709,361
act,negative,1.988,1409
acted,negative,1.494,126
acting,negative,1.792,543
action,positive,2.0,1493
actions,positive,1.803,572
active,positive,1.678,311
actively,positive,1.714,370
activist,negative,1.496,127
activists,negative,1.584,196
activities,positive,1.604,216
activity,positive,1.655,278
actors,negative,1.529,150
acts,positive,1.583,195
actual,ambiguous,2.054,1945
actually,ambiguous,2.338,7783
acute,negative,1.695,338
adapt,positive,1.592,204
adapted,positive,1.51,136
add,positive,1.984,1383
added,positive,1.862,761
adding,positive,1.727,395
addition,positive,1.669,297
additional,positive,1.903,933
address,ambiguous,1.842,693
addressing,ambiguous,1.503,132
adds,positive,1.578,190
adequate,positive,1.543,160
adhere,positive,1.47,112
adjusted,positive,1.527,148
admin,positive,1.642,260
administer,positive,1.718,378
administered,positive,1.943,1133
administering,positive,1.703,350
administration,negative,1.735,411
admission,negative,1.805,577
admissions,negative,2.04,1821
admit,positive,1.923,1028
admits,positive,1.73,401
admitted,positive,1.995,1457
admitting,positive,1.643,262
adopted,positive,1.477,116
ads,negative,1.517,141
adult,positive,2.032,1750
adults,positive,2.105,2491
advance,positive,1.728,397
advantage,positive,1.706,356
advent,positive,1.466,110
adverse,negative,2.088,2294
advert,negative,1.568,181
advertised,negative,1.486,121
advertising,negative,1.607,219
adverts,negative,1.439,96
advice,positive,2.104,2485
advise,positive,1.75,441
advised,positive,1.786,527
advisers,positive,1.614,227
advising,positive,1.581,193
advisors,positive,1.502,131
advisory,positive,1.589,201
advocate,positive,1.625,240
advocating,positive,1.674,305
affairs,ambiguous,1.539,157
affect,negative,1.905,940
affected,negative,1.938,1107
affecting,negative,1.666,293
affects,negative,1.893,885
afford,positive,1.811,594
afraid,negative,1.943,1131
aged,ambiguous,2.157,3221
agency,positive,1.758,459
agenda,ambiguous,1.975,1326
agent,ambiguous,1.511,137
aggressive,negative,1.481,118
agree,positive,2.245,4944
agreed,positive,1.88,831
agreeing,positive,1.521,144
agreement,positive,1.592,204
agrees,positive,1.539,157
ahead,positive,2.072,2123
aid,positive,1.663,289
aids,negative,1.687,324
aim,positive,1.686,322
ain't,negative,0.5,0
airborne,negative,1.719,380
alarm,negative,1.587,199
alarming,negative,1.576,188
alcohol,negative,1.736,412
alert,negative,1.674,305
alive,positive,1.781,513
alleged,negative,1.6,212
allegedly,negative,1.612,225
allergic,negative,1.654,276
allergies,negative,1.617,230
allergy,negative,1.477,116
alliance,positive,1.586,198
allow,positive,2.015,1605
allowed,positive,2.139,2939
allowing,positive,1.858,748
allows,positive,1.717,376
alone,negative,2.127,2775
alongside,positive,1.711,365
alpha,negative,1.729,399
alright,positive,1.719,379
alternative,positive,1.78,510
although,ambiguous,2.034,1762
always,ambiguous,2.285,6005
amazing,positive,2.013,1591
ambulance,negative,1.641,259
amount,ambiguous,2.028,1714
amounts,ambiguous,1.602,214
analogy,positive,1.594,206
analysis,positive,1.892,882
anecdotal,negative,1.624,238
anger,negative,1.696,339
angry,negative,1.943,1132
animal,negative,1.686,323
animals,negative,1.707,357
anniversary,positive,1.577,189
announce,positive,1.865,775
announced,positive,1.977,1336
announcement,positive,1.798,557
announces,positive,1.792,542
announcing,positive,1.61,223
annoyed,negative,1.636,253
annoying,negative,1.753,447
annual,positive,1.894,893
annually,positive,1.525,147
anonymous,negative,1.537,156
answer,positive,2.102,2457
answered,positive,1.615,228
answers,positive,1.766,478
anti,negative,2.537,20472
antibiotics,positive,1.736,412
antibodies,positive,2.132,2851
antibody,positive,1.981,1362
anticovid,positive,1.941,1119
antidote,positive,1.798,558
antieverything,negative,1.01,11
antigen,negative,1.895,896
antigens,negative,1.489,123
antilockdown,positive,1.852,726
antimask,negative,1.682,317
antimaskers,negative,1.597,209
antipass,negative,1.441,97
antiscience,negative,1.596,208
antisocial,negative,1.508,135
antivaccination,negative,1.562,176
antivaccine,negative,1.774,496
antivax,negative,2.445,13059
antivaxer,negative,1.857,744
antivaxers,negative,2.076,2168
antiviral,positive,1.878,824
antivirals,positive,1.675,306
anxiety,negative,1.866,779
anxious,negative,1.662,287
anything,ambiguous,2.286,6027
apartheid,negative,1.711,365
apocalyptic,negative,1.499,129
apologies,negative,1.569,182
apologise,negative,1.534,153
appalling,negative,1.652,273
appeal,negative,1.597,209
appear,ambiguous,1.891,880
appeared,ambiguous,1.638,255
appears,ambiguous,1.922,1023
applied,ambiguous,1.618,231
applies,ambiguous,1.587,199
apply,ambiguous,1.774,496
appointment,positive,2.23,4586
appointments,positive,2.092,2341
appreciate,positive,1.794,548
appreciated,positive,1.629,244
approach,positive,1.936,1094
appropriate,positive,1.677,309
approval,positive,1.888,865
approve,positive,1.643,262
approved,positive,2.069,2089
approves,positive,1.743,426
approximately,ambiguous,1.531,151
area,ambiguous,1.942,1127
areas,ambiguous,1.902,927
arena,negative,1.561,175
aren't,negative,0.5,0
argue,ambiguous,1.832,659
arguing,ambiguous,1.792,543
argument,ambiguous,2.05,1906
arguments,ambiguous,1.829,649
armed,negative,1.605,217
army,negative,1.88,832
arn,ambiguous,1.776,502
arrange,positive,1.557,172
arrest,negative,1.725,391
arrested,negative,1.749,440
arrival,positive,1.642,260
arri've,positive,0.5,0
arrived,positive,1.757,456
arrogant,negative,1.616,229
arse,negative,1.862,761
arsed,negative,1.615,228
art,positive,1.896,901
artist,positive,1.421,88
artists,positive,1.432,93
arts,positive,1.479,117
ashamed,negative,1.617,230
aside,ambiguous,1.784,520
ask,positive,2.179,3577
asked,positive,2.157,3207
asking,positive,2.105,2489
asks,positive,1.667,294
asleep,negative,1.59,202
ass,negative,1.873,805
assess,positive,1.531,151
assessment,positive,1.705,354
assist,positive,1.511,137
associated,positive,1.8,562
association,positive,1.574,187
assume,negative,1.935,1091
assumed,negative,1.652,274
assuming,negative,1.782,515
assumption,negative,1.626,241
assumptions,negative,1.554,169
asthma,negative,1.719,380
astonishing,negative,1.494,126
astrazeneca,ambiguous,2.327,7367
asymptomatic,negative,1.84,684
athletes,positive,1.727,394
attached,negative,1.557,172
attack,negative,1.983,1373
attacked,negative,1.549,165
attacking,negative,1.616,229
attacks,negative,1.844,699
attempt,ambiguous,1.794,548
attempting,ambiguous,1.544,161
attempts,ambiguous,1.583,195
attend,ambiguous,1.919,1005
