word,sentiment,weight,freq_corpus
abbot,Ambiguous,0.5,0
abeyance,Ambiguous,0.5,0
abeyances,Ambiguous,0.5,0
abovementioned,Ambiguous,0.5,0
abrogate,Ambiguous,0.5,0
abrogated,Ambiguous,0.5,0
abrogates,Ambiguous,0.5,0
abrogating,Ambiguous,0.5,0
abrogation,Ambiguous,0.5,0
abrogations,Ambiguous,0.5,0
absence,Ambiguous,0.728,1
absolution,Ambiguous,0.5,0
absolve,Ambiguous,0.5,0
absolved,Ambiguous,0.5,0
absolves,Ambiguous,0.5,0
absolving,Ambiguous,0.5,0
accession,Ambiguous,0.5,0
accessions,Ambiguous,0.5,0
acquirees,Ambiguous,0.5,0
acquirors,Ambiguous,0.5,0
acquit,Ambiguous,0.5,0
acquits,Ambiguous,0.5,0
acquittals,Ambiguous,0.5,0
acquittance,Ambiguous,0.5,0
acquittances,Ambiguous,0.5,0
acquitted,Ambiguous,0.5,0
acquitting,Ambiguous,0.5,0
actual,Ambiguous,1.45,17
actually,Ambiguous,0.5,0
addendums,Ambiguous,0.5,0
address,Ambiguous,1.029,4
addressing,Ambiguous,0.728,1
adjourn,Ambiguous,0.5,0
adjourned,Ambiguous,0.728,1
adjourning,Ambiguous,0.5,0
adjournment,Ambiguous,0.5,0
adjournments,Ambiguous,0.5,0
adjourns,Ambiguous,0.5,0
adjudge,Ambiguous,0.5,0
adjudged,Ambiguous,0.5,0
adjudges,Ambiguous,0.5,0
adjudging,Ambiguous,0.5,0
adjudicate,Ambiguous,0.5,0
adjudicated,Ambiguous,0.5,0
adjudicates,Ambiguous,0.5,0
adjudicating,Ambiguous,0.5,0
adjudication,Ambiguous,0.5,0
adjudications,Ambiguous,0.5,0
adjudicative,Ambiguous,0.5,0
adjudicator,Ambiguous,0.5,0
adjudicators,Ambiguous,0.5,0
adjudicatory,Ambiguous,0.5,0
administrative,Ambiguous,0.5,0
admissibility,Ambiguous,0.5,0
admissible,Ambiguous,0.5,0
admissibly,Ambiguous,0.5,0
admissions,Ambiguous,0.5,0
admit,Ambiguous,1.139,6
admits,Ambiguous,0.861,2
affectation,Ambiguous,0.5,0
affidavit,Ambiguous,0.5,0
affidavits,Ambiguous,0.5,0
affirm,Ambiguous,0.5,0
affirmance,Ambiguous,0.5,0
affirmation,Ambiguous,0.5,0
affirmatively,Ambiguous,0.5,0
affreightment,Ambiguous,0.5,0
aforedescribed,Ambiguous,0.5,0
aforementioned,Ambiguous,0.728,1
aforesaid,Ambiguous,0.5,0
aforestated,Ambiguous,0.5,0
agenda,Ambiguous,1.431,16
agent,Ambiguous,0.955,3
airport,Ambiguous,0.861,2
alarmist,Ambiguous,0.861,2
alarmists,Ambiguous,0.728,1
alertness,Ambiguous,0.5,0
alerts,Ambiguous,0.5,0
allegation,Ambiguous,0.5,0
allegations,Ambiguous,0.5,0
allege,Ambiguous,0.5,0
almost,Ambiguous,0.5,0
always,Ambiguous,0.5,0
ambiguous,Ambiguous,0.5,0
ambiguousness,Ambiguous,0.5,0
amendable,Ambiguous,0.5,0
amendatory,Ambiguous,0.5,0
amended,Ambiguous,0.5,0
amending,Ambiguous,0.5,0
amendment,Ambiguous,0.5,0
amendments,Ambiguous,0.5,0
amends,Ambiguous,0.5,0
amount,Ambiguous,1.183,7
amounts,Ambiguous,0.5,0
anaconda,Ambiguous,0.5,0
anal,Ambiguous,0.5,0
anchorage,Ambiguous,0.5,0
antecedent,Ambiguous,0.5,0
antecedents,Ambiguous,0.5,0
anticipate,Ambiguous,0.728,1
anticipated,Ambiguous,0.5,0
anticipates,Ambiguous,0.5,0
anticipating,Ambiguous,0.728,1
anticipation,Ambiguous,0.5,0
anticipations,Ambiguous,0.5,0
anticipatory,Ambiguous,0.5,0
anticorruption,Ambiguous,0.861,2
anywise,Ambiguous,0.5,0
apparent,Ambiguous,0.5,0
apparently,Negative,1.431,16
apparition,Ambiguous,0.5,0
appeals,Ambiguous,0.5,0
appear,Ambiguous,1.222,8
appeared,Ambiguous,1.089,5
appearing,Ambiguous,0.728,1
appears,Ambiguous,1.139,6
appellant,Ambiguous,0.5,0
appellants,Ambiguous,0.5,0
appellate,Ambiguous,0.5,0
appellees,Ambiguous,0.5,0
appertaining,Ambiguous,0.5,0
applicant,Ambiguous,0.5,0
applied,Ambiguous,0.861,2
applies,Ambiguous,0.5,0
apply,Ambiguous,1.257,9
appointor,Ambiguous,0.5,0
approaching,Ambiguous,0.728,1
approximate,Ambiguous,0.5,0
approximated,Ambiguous,0.5,0
arbitration,Ambiguous,0.5,0
arbitrational,Ambiguous,0.5,0
arbitrations,Ambiguous,0.5,0
arbitrative,Ambiguous,0.5,0
area,Ambiguous,1.222,8
areas,Ambiguous,1.288,10
argue,Ambiguous,0.5,0
argued,Ambiguous,0.5,0
arguing,Ambiguous,0.5,0
argument,Ambiguous,1.39,14
argumentation,Ambiguous,0.5,0
argumentative,Ambiguous,0.5,0
arguments,Ambiguous,0.728,1
arn,Ambiguous,0.728,1
arrival,Ambiguous,0.861,2
arrive,Ambiguous,1.029,4
ascendant,Ambiguous,0.5,0
ascendants,Ambiguous,0.5,0
assertable,Ambiguous,0.5,0
asserting,Ambiguous,0.5,0
assertions,Ambiguous,0.5,0
assignation,Ambiguous,0.5,0
assignations,Ambiguous,0.5,0
assignee,Ambiguous,0.5,0
assumable,Ambiguous,0.5,0
astrazeneca,Ambiguous,1.57,25
asylum,Ambiguous,0.5,0
attempt,Ambiguous,1.029,4
attempting,Ambiguous,0.861,2
attempts,Ambiguous,0.861,2
attest,Ambiguous,0.5,0
attestation,Ambiguous,0.5,0
attestations,Ambiguous,0.5,0
attested,Ambiguous,0.5,0
attesting,Ambiguous,0.5,0
attributed,Ambiguous,0.5,0
automatic,Ambiguous,0.5,0
automatically,Ambiguous,0.861,2
autonomous,Ambiguous,0.5,0
average,Ambiguous,1.183,7
avg,Ambiguous,0.5,0
await,Ambiguous,0.5,0
awaited,Ambiguous,0.5,0
awaits,Ambiguous,0.5,0
bastion,Ambiguous,0.5,0
became,Ambiguous,1.139,6
become,Ambiguous,1.516,21
becomes,Ambiguous,0.955,3
becoming,Ambiguous,1.089,5
beforehand,Ambiguous,0.728,1
begun,Ambiguous,0.5,0
belong,Ambiguous,0.728,1
beneficiated,Ambiguous,0.5,0
beneficiation,Ambiguous,0.5,0
beyond,Ambiguous,1.257,9
big,Ambiguous,1.695,37
bigger,Ambiguous,0.955,3
biggest,Ambiguous,1.288,10
billion,Ambiguous,0.955,3
billions,Positive,1.029,4
biontech,Ambiguous,0.861,2
biontechgroup,Ambiguous,0.5,0
biotech,Ambiguous,0.861,2
bit,Ambiguous,0.5,0
bloke,Ambiguous,0.861,2
board,Ambiguous,0.955,3
bodies,Ambiguous,1.139,6
bodily,Ambiguous,0.861,2
body,Ambiguous,1.544,23
bodys,Ambiguous,0.5,0
bona,Ambiguous,0.5,0
bonafide,Ambiguous,0.5,0
bookworm,Ambiguous,0.728,1
boom,Ambiguous,1.029,4
boomerang,Ambiguous,0.5,0
bot,Ambiguous,0.728,1
bots,Ambiguous,1.029,4
box,Ambiguous,0.955,3
breakingnews,Ambiguous,0.955,3
brexit,Ambiguous,1.639,31
brief,Ambiguous,0.5,0
briefing,Ambiguous,0.728,1
buck,Ambiguous,0.5,0
bugle,Ambiguous,0.5,0
buzz,Ambiguous,0.5,0
categories,Ambiguous,0.5,0
category,Ambiguous,0.5,0
cautiously,Ambiguous,0.728,1
cautiousness,Ambiguous,0.5,0
cedant,Ambiguous,0.5,0
cedants,Ambiguous,0.5,0
cell,Ambiguous,0.955,3
cells,Ambiguous,0.955,3
cellular,Ambiguous,0.5,0
certiorari,Ambiguous,0.5,0
cession,Ambiguous,0.5,0
chain,Ambiguous,0.955,3
changeable,Ambiguous,0.5,0
chattel,Ambiguous,0.5,0
chattels,Ambiguous,0.5,0
cheap,Ambiguous,0.728,1
chicane,Ambiguous,0.5,0
choate,Ambiguous,0.5,0
circumvention,Ambiguous,0.5,0
class,Ambiguous,1.257,9
classed,Ambiguous,0.728,1
clawbacks,Ambiguous,0.5,0
close,Ambiguous,1.558,24
cloud,Ambiguous,0.5,0
club,Ambiguous,1.089,5
clubs,Ambiguous,1.139,6
codicil,Ambiguous,0.5,0
codicils,Ambiguous,0.5,0
comical,Ambiguous,0.5,0
comirnaty,Ambiguous,0.5,0
commonplace,Ambiguous,0.5,0
competitive,Ambiguous,0.5,0
complicity,Ambiguous,0.5,0
concession,Ambiguous,0.5,0
concomitant,Ambiguous,0.5,0
condemnor,Ambiguous,0.5,0
condition,Ambiguous,1.089,5
conditional,Ambiguous,0.5,0
conditionally,Ambiguous,0.5,0
conditions,Ambiguous,1.222,8
confess,Ambiguous,0.861,2
confessional,Ambiguous,0.5,0
confessions,Ambiguous,0.5,0
confiscatory,Ambiguous,0.5,0
conjure,Ambiguous,0.5,0
conquest,Ambiguous,0.5,0
consequent,Ambiguous,0.5,0
conservatorships,Ambiguous,0.5,0
constant,Ambiguous,0.861,2
constantly,Ambiguous,1.029,4
constitution,Ambiguous,0.5,0
constitutive,Ambiguous,0.5,0
construe,Ambiguous,0.5,0
construed,Ambiguous,0.5,0
construes,Ambiguous,0.5,0
construing,Ambiguous,0.5,0
contact,Ambiguous,1.183,7
contacts,Ambiguous,0.861,2
contestability,Ambiguous,0.5,0
contestation,Ambiguous,0.5,0
contingencies,Ambiguous,0.5,0
contingency,Ambiguous,0.5,0
contingent,Ambiguous,0.5,0
contingently,Ambiguous,0.5,0
contingents,Ambiguous,0.5,0
controvert,Ambiguous,0.5,0
controverted,Ambiguous,0.5,0
controverting,Ambiguous,0.5,0
conveniens,Ambiguous,0.5,0
conveyance,Ambiguous,0.5,0
conveyances,Ambiguous,0.5,0
conviction,Ambiguous,0.5,0
cool,Ambiguous,1.089,5
coolness,Ambiguous,0.5,0
coop,Ambiguous,0.5,0
cop,Ambiguous,0.955,3
corporation,Ambiguous,0.5,0
correlative,Ambiguous,0.5,0
coterminous,Ambiguous,0.5,0
could,Ambiguous,0.5,0
counsel,Ambiguous,0.5,0
counseled,Ambiguous,0.5,0
counselled,Ambiguous,0.5,0
counsellor,Ambiguous,0.5,0
counsels,Ambiguous,0.5,0
countersignor,Ambiguous,0.5,0
countersued,Ambiguous,0.5,0
countersuit,Ambiguous,0.5,0
countersuits,Ambiguous,0.5,0
court,Ambiguous,1.089,5
courtroom,Ambiguous,0.5,0
courts,Ambiguous,0.861,2
covax,Ambiguous,0.5,0
crave,Ambiguous,0.5,0
crescendo,Ambiguous,0.5,0
crisp,Ambiguous,0.5,0
crossclaim,Ambiguous,0.5,0
crossclaims,Ambiguous,0.5,0
crossroad,Ambiguous,0.5,0
crossroads,Ambiguous,0.5,0
crush,Ambiguous,0.728,1
cue,Ambiguous,0.728,1
cycle,Ambiguous,1.089,5
daily,Ambiguous,0.5,0
dare,Ambiguous,1.029,4
decedent,Ambiguous,0.5,0
decedents,Ambiguous,0.5,0
declarant,Ambiguous,0.5,0
declaration,Ambiguous,0.728,1
decree,Ambiguous,0.728,1
decreed,Ambiguous,0.5,0
decreeing,Ambiguous,0.5,0
decrees,Ambiguous,0.5,0
defalcation,Ambiguous,0.5,0
defalcations,Ambiguous,0.5,0
defectively,Ambiguous,0.5,0
defendable,Ambiguous,0.5,0
definitely,Ambiguous,1.5,20
delegable,Ambiguous,0.5,0
