word,sentiment
abacus,positive
abandon,negative
abandoned,negative
abandonment,negative
abba,positive
abbot,positive
abduction,negative
aberrant,negative
aberration,negative
abhor,negative
abhorrent,negative
ability,positive
abject,negative
abnormal,negative
abolish,negative
abolition,negative
abominable,negative
abomination,negative
abort,negative
abortion,negative
abortive,negative
abovementioned,positive
abrasion,negative
abrogate,negative
abrupt,ambiguous
abscess,negative
absence,negative
absent,negative
absentee,negative
absenteeism,negative
absolute,positive
absolution,positive
absorbed,positive
absurd,negative
absurdity,negative
abundance,positive
abundant,positive
abuse,negative
abysmal,negative
abyss,negative
academic,positive
academy,positive
accelerate,positive
acceptable,positive
acceptance,positive
accessible,positive
accident,negative
accidental,negative
accidentally,ambiguous
accolade,positive
accommodation,positive
accompaniment,positive
accomplish,positive
accomplished,positive
accomplishment,positive
accord,positive
account,positive
accountability,positive
accountable,positive
accountant,positive
accounts,positive
accredited,positive
accueil,positive
accurate,positive
accursed,negative
accusation,negative
accusative,negative
accused,negative
accuser,negative
accusing,negative
ace,positive
ache,negative
achieve,positive
achievement,positive
aching,negative
acid,negative
acknowledgment,positive
acquire,positive
acquiring,positive
acrobat,negative
action,positive
actionable,negative
actual,positive
acuity,positive
acumen,positive
adapt,positive
adaptable,positive
adder,negative
addiction,negative
addresses,positive
adept,positive
adequacy,positive
adhering,positive
adipose,negative
adjudicate,negative
adjunct,positive
administrative,positive
admirable,positive
admiral,positive
admiration,positive
admire,positive
admirer,positive
admissible,positive
admonition,negative
adorable,positive
adoration,positive
adore,positive
adrift,positive
adulterated,negative
adultery,negative
advance,positive
advanced,positive
advancement,positive
advantage,positive
advantageous,positive
advent,positive
adventure,positive
adventurous,positive
adversary,negative
adverse,negative
adversity,negative
advice,positive
advisable,positive
advise,positive
advised,positive
adviser,positive
advocacy,negative
advocate,positive
aesthetic,positive
aesthetics,positive
affable,positive
affection,positive
affiliated,positive
affirm,positive
affirmation,positive
affirmative,positive
affirmatively,positive
afflict,negative
afflicted,negative
affliction,negative
affluence,positive
affluent,positive
afford,positive
affront,negative
afraid,negative
aftermath,negative
aftertaste,negative
aga,negative
aggravated,negative
aggravating,negative
aggravation,negative
aggression,negative
aggressive,negative
aggressor,negative
aghast,negative
agile,positive
agility,positive
agitated,negative
agitation,negative
agonizing,negative
agony,negative
agree,positive
agreeable,positive
agreed,positive
agreeing,positive
agreement,positive
agriculture,positive
aground,negative
ahead,positive
aid,positive
aiding,positive
ail,negative
ailing,negative
aimless,negative
airport,positive
airs,negative
akin,positive
alabaster,positive
alarm,negative
alarming,negative
alb,positive
alcoholism,negative
alertness,positive
alerts,positive
alien,negative
alienate,negative
alienated,negative
alienation,negative
alimentation,positive
alimony,negative
alive,positive
allay,positive
allegation,negative
allege,negative
allegiance,positive
allegro,positive
alleviate,positive
alleviation,positive
alliance,positive
allied,positive
allowable,positive
allure,positive
alluring,positive
ally,positive
almighty,positive
aloha,positive
aloof,negative
altercation,negative
amaze,ambiguous
amazingly,positive
ambassador,positive
ambiguous,negative
ambition,positive
ambulance,negative
ambush,negative
ameliorate,positive
amen,positive
amenable,positive
amend,positive
amends,positive
amenity,positive
amiable,positive
amicable,positive
ammonia,negative
amnesia,negative
amnesty,positive
amortization,positive
amour,positive
amphetamines,negative
amuse,positive
amused,positive
amusement,positive
amusing,positive
anaconda,negative
anal,negative
analyst,positive
anarchism,negative
anarchist,negative
anarchy,negative
anathema,negative
ancestral,positive
anchor,positive
anchorage,positive
ancient,negative
angel,positive
angelic,positive
anger,negative
angina,negative
angling,positive
angry,negative
anguish,negative
animate,positive
animated,positive
animosity,negative
animus,negative
annihilate,negative
annihilated,negative
annihilation,negative
announcement,positive
annoy,negative
annoyance,negative
annoying,negative
annul,negative
annulment,negative
anomaly,negative
anonymous,negative
answerable,positive
antagonism,negative
antagonist,negative
antagonistic,negative
anthrax,negative
antibiotics,positive
antichrist,negative
anticipation,positive
anticipatory,positive
antidote,positive
antifungal,positive
antipathy,negative
antiquated,negative
antique,positive
antiseptic,positive
antisocial,negative
antithesis,negative
anxiety,negative
anxious,positive
apache,negative
apathetic,negative
apathy,negative
aphid,negative
aplomb,positive
apologetic,positive
apologize,positive
apology,positive
apostle,positive
apostolic,positive
appalling,negative
apparition,negative
appeal,positive
appendicitis,negative
applause,positive
applicant,positive
appreciation,positive
apprehend,negative
apprehension,negative
apprehensive,positive
apprentice,positive
approaching,positive
approbation,positive
appropriation,negative
approval,positive
approve,positive
approving,positive
apt,positive
aptitude,positive
arbiter,positive
arbitration,positive
arbitrator,positive
archaeology,positive
archaic,negative
architecture,positive
ardent,positive
ardor,positive
arduous,negative
argue,negative
argument,negative
argumentation,negative
argumentative,negative
arguments,negative
arid,negative
aristocracy,positive
aristocratic,positive
armament,negative
armaments,negative
armed,negative
armor,negative
armored,negative
armory,positive
aroma,positive
arouse,positive
arraignment,negative
array,positive
arrears,negative
arrest,negative
arrival,positive
arrive,positive
arrogance,negative
arrogant,negative
arsenic,negative
arson,negative
art,positive
articulate,positive
articulation,positive
artillery,negative
artisan,positive
artiste,positive
artistic,positive
ascendancy,positive
ascent,positive
ash,negative
ashamed,negative
ashes,negative
asp,negative
aspiration,positive
aspire,positive
aspiring,positive
ass,negative
assail,negative
assailant,negative
assassin,negative
assassinate,negative
assassination,negative
assault,negative
assembly,positive
assent,positive
asserting,positive
assessment,ambiguous
assessor,positive
assets,positive
asshole,negative
assignee,positive
assist,positive
assistance,positive
associate,positive
association,positive
assuage,positive
assurance,positive
assure,positive
assured,positive
assuredly,positive
astonishingly,positive
astonishment,positive
astray,negative
astringent,negative
astrologer,positive
astronaut,positive
astronomer,positive
astute,positive
asylum,negative
asymmetry,negative
atheism,negative
atherosclerosis,negative
athlete,positive
athletic,positive
atom,positive
atone,positive
atonement,positive
atrocious,negative
atrocity,negative
atrophy,negative
attachment,positive
attack,negative
attacking,negative
attainable,positive
attainment,positive
attempt,positive
attendance,positive
attendant,positive
attention,positive
attentive,positive
attenuated,negative
attenuation,negative
attest,positive
attestation,positive
attorney,negative
attraction,positive
attractiveness,positive
auction,positive
audacity,negative
audience,positive
auditor,negative
augment,positive
august,positive
aunt,positive
aura,positive
auspicious,positive
austere,negative
austerity,negative
authentic,positive
authenticate,positive
authentication,positive
authenticity,positive
author,positive
authoritative,positive
authority,positive
authorization,positive
authorize,positive
authorized,positive
autocratic,negative
automatic,positive
autopsy,negative
avalanche,negative
avarice,negative
avatar,positive
avenger,negative
averse,negative
aversion,negative
