word,sentiment
ability,positive
able,positive
absence,positive
absolute,positive
absolutely,positive
absurd,negative
abuse,negative
accept,positive
acceptable,positive
acceptance,positive
accepted,positive
accepting,positive
access,positive
accessible,positive
accident,negative
accidentally,negative
accidents,negative
accommodation,positive
according,positive
account,positive
accountable,positive
accounts,positive
accurate,positive
accused,negative
ache,negative
ached,negative
aches,negative
achieve,positive
achieved,positive
achievement,positive
aching,negative
achy,negative
acknowledge,positive
acquire,positive
acquired,positive
act,negative
acted,negative
acting,negative
action,positive
actions,positive
active,positive
actively,positive
activist,negative
activists,negative
activities,positive
activity,positive
actors,negative
acts,positive
actual,ambiguous
actually,ambiguous
acute,negative
adapt,positive
adapted,positive
add,positive
added,positive
adding,positive
addition,positive
additional,positive
address,ambiguous
addressing,ambiguous
adds,positive
adequate,positive
adjusted,positive
admin,positive
administer,positive
administered,positive
administering,positive
administration,negative
admission,negative
admissions,negative
admit,positive
admits,positive
admitted,positive
admitting,positive
adopted,positive
ads,negative
adult,positive
adults,positive
advance,positive
advantage,positive
adverse,negative
advert,negative
advertised,negative
advertising,negative
adverts,negative
advice,positive
advise,positive
advised,positive
advisers,positive
advising,positive
advisory,positive
advocate,positive
advocating,positive
affect,negative
affected,negative
affecting,negative
affects,negative
afford,positive
afraid,negative
aged,negative
agency,positive
agenda,ambiguous
agent,ambiguous
aggressive,negative
agree,positive
agreed,positive
agreeing,positive
agreement,positive
agrees,positive
ahead,positive
aid,positive
aids,negative
aim,positive
ain't,negative
alarm,negative
alarming,negative
alcohol,negative
alert,negative
alive,positive
alleged,negative
allegedly,negative
allergic,negative
allergies,negative
allergy,negative
alliance,positive
allow,positive
allowed,positive
allowing,positive
allows,positive
alone,negative
alongside,positive
alpha,negative
alright,positive
alternative,positive
although,negative
always,ambiguous
amazing,positive
ambulance,negative
amount,ambiguous
amounts,ambiguous
analogy,positive
analysis,positive
anecdotal,negative
anger,negative
angry,negative
animal,negative
animals,negative
anniversary,positive
announce,positive
announced,positive
announcement,positive
announces,positive
announcing,positive
annoyed,negative
annoying,negative
annual,positive
annually,positive
anonymous,negative
answer,positive
answered,positive
answers,positive
anti,negative
antibodies,positive
antibody,positive
anticovid,positive
antigen,negative
antigens,negative
antilockdown,positive
antimask,negative
antipass,negative
antiscience,negative
antisocial,negative
antivaccination,negative
antivaccine,negative
antivax,negative
antivaxer,negative
antivaxers,negative
antiviral,positive
antivirals,positive
anxiety,negative
anxious,negative
anything,negative
apartheid,negative
apologies,negative
apologise,negative
appalling,negative
appeal,negative
appear,ambiguous
appeared,ambiguous
appears,ambiguous
applied,ambiguous
applies,ambiguous
apply,ambiguous
appointment,positive
appointments,positive
appreciate,positive
appreciated,positive
approach,positive
appropriate,positive
approval,positive
approve,positive
approved,positive
approves,positive
approximately,negative
area,ambiguous
areas,ambiguous
arena,negative
aren't,negative
argue,ambiguous
arguing,ambiguous
argument,ambiguous
arguments,ambiguous
armed,negative
army,negative
arn,ambiguous
arrange,positive
arrest,negative
arrested,negative
arrival,positive
arri've,positive
arrived,positive
arrogant,negative
arse,negative
arsed,negative
art,positive
ashamed,negative
aside,negative
ask,positive
asked,positive
asking,positive
asks,positive
asleep,negative
ass,negative
assess,positive
assessment,positive
assist,positive
associated,positive
association,positive
assume,negative
assumed,negative
assuming,negative
assumption,negative
assumptions,negative
asthma,negative
astonishing,negative
astrazeneca,ambiguous
asymptomatic,negative
athletes,positive
attached,negative
attack,negative
attacked,negative
attacking,negative
attacks,negative
attempt,ambiguous
attempting,ambiguous
attempts,ambiguous
attend,negative
attended,negative
attending,negative
attitude,positive
attitudes,positive
attributed,ambiguous
authorisation,positive
authorised,positive
authorises,positive
authoritarian,negative
authoritarianism,negative
authorities,negative
authority,negative
authorization,positive
authorized,positive
authorizes,positive
autism,negative
autistic,negative
autoimmune,negative
automatically,ambiguous
autonomy,positive
availability,positive
available,positive
average,ambiguous
avg,ambiguous
avoid,negative
avoidable,negative
avoided,negative
avoiding,negative
awaiting,negative
awake,positive
aware,positive
awareness,positive
away,negative
awesome,positive
babies,positive
baby,positive
backed,positive
background,positive
backhand,negative
backs,negative
backwards,negative
bad,negative
badly,negative
badvaccinetakes,negative
balance,positive
balanced,positive
balls,positive
ban,negative
banging,negative
bank,negative
banks,negative
banned,negative
banning,negative
barely,negative
base,positive
based,positive
basic,positive
basically,positive
basics,positive
basis,positive
bastard,negative
bastards,negative
bat,negative
batch,positive
batches,positive
battle,negative
beany,negative
bear,negative
bearing,negative
beast,negative
beat,negative
beating,negative
beats,negative
beautiful,positive
became,ambiguous
become,ambiguous
becomes,ambiguous
becoming,ambiguous
beer,positive
beforehand,ambiguous
beg,negative
began,positive
begging,negative
begin,positive
beginning,positive
begins,positive
behave,positive
behavior,positive
behaviour,positive
behind,negative
belief,positive
beliefs,positive
believe,positive
believed,positive
believes,positive
believing,positive
bell,positive
bells,positive
belong,ambiguous
beneficial,positive
benefit,positive
benefits,positive
besides,negative
best,positive
bet,negative
beta,negative
bets,negative
better,positive
beyond,ambiguous
bias,negative
biased,negative
big,positive
bigger,positive
biggest,positive
bigpharma,negative
bill,negative
billgates,negative
billion,ambiguous
billionaire,negative
billions,ambiguous
bin,negative
binary,negative
bio,positive
biological,positive
biology,positive
biontech,ambiguous
biontechgroup,ambiguous
biotech,ambiguous
bioweapon,negative
bird,positive
birth,positive
birthday,positive
bitch,negative
bite,negative
bits,negative
bizarre,negative
blackmail,negative
blah,negative
blame,negative
blamed,negative
blaming,negative
bless,positive
blessed,positive
blind,negative
block,negative
blocked,negative
blocking,negative
bloke,ambiguous
blood,negative
bloody,negative
blow,negative
blown,negative
blows,negative
board,ambiguous
bodies,ambiguous
bodily,ambiguous
body,ambiguous
bodys,ambiguous
bold,positive
bollocks,positive
bonkers,negative
bonus,positive
book,positive
booked,positive
booking,positive
bookings,positive
books,positive
boost,positive
boosted,positive
booster,positive
boostered,positive
boosters,positive
boosting,positive
boosts,positive
border,negative
borders,negative
bored,negative
boring,negative
born,positive
boss,negative
bot,ambiguous
bothred,negative
bots,ambiguous
bottom,negative
bound,negative
bout,negative
boxing,negative
brain,positive
brains,positive
brainwashed,negative
brand,negative
brave,positive
breach,negative
break,negative
breakdown,negative
breaker,negative
breaking,negative
breakingnews,ambiguous
breaks,negative
breakthrough,negative
breastfeeding,positive
breath,positive
breathe,positive
breathing,positive
brexit,ambiguous
bridge,positive
brief,ambiguous
briefing,ambiguous
bright,positive
brilliant,positive
bring,positive
bringing,positive
