word,sentiment,weight,freq_corpus
abandoned,negative,0.861,2
ability,positive,1.029,4
able,positive,1.712,39
absence,positive,0.728,1
absolute,positive,1.45,17
absolutely,positive,1.659,33
absurd,negative,0.861,2
abuse,negative,1.288,10
accept,positive,1.53,22
acceptable,positive,1.139,6
acceptance,positive,0.5,0
accepted,positive,1.089,5
accepting,positive,0.728,1
access,positive,1.467,18
accessible,positive,0.728,1
accident,negative,0.5,0
accidentally,negative,0.728,1
accidents,negative,0.5,0
accommodation,positive,0.955,3
according,positive,1.029,4
account,positive,1.316,11
accountable,positive,0.5,0
accounts,positive,1.089,5
accurate,positive,1.089,5
accused,negative,1.089,5
accuses,negative,1.583,26
ache,negative,0.728,1
ached,negative,0.5,0
aches,negative,0.5,0
achieve,positive,1.089,5
achieved,positive,0.728,1
achievement,positive,0.728,1
aching,negative,0.728,1
achy,negative,0.728,1
acknowledge,positive,1.183,7
acquire,positive,0.861,2
acquired,positive,0.955,3
act,negative,1.288,10
acted,negative,0.861,2
acting,negative,1.029,4
action,positive,1.595,27
actions,positive,1.029,4
active,positive,0.955,3
actively,positive,0.955,3
activist,negative,0.955,3
activists,negative,0.861,2
activities,positive,0.728,1
activity,positive,0.955,3
actors,negative,0.728,1
acts,positive,0.5,0
actual,ambiguous,1.45,17
actually,ambiguous,0.5,0
acute,negative,0.728,1
adapt,positive,1.089,5
adapted,positive,0.861,2
add,positive,1.257,9
added,positive,1.139,6
adding,positive,0.955,3
addition,positive,0.861,2
additional,positive,0.861,2
address,ambiguous,1.029,4
addressing,ambiguous,0.728,1
adds,positive,0.728,1
adequate,positive,0.5,0
adhere,positive,0.861,2
adjusted,positive,0.5,0
admin,positive,0.728,1
administer,positive,0.5,0
administered,positive,0.861,2
administering,positive,0.5,0
administration,negative,0.728,1
admission,negative,0.5,0
admissions,negative,0.5,0
admit,positive,1.139,6
admits,positive,0.861,2
admitted,positive,1.089,5
admitting,positive,0.728,1
adopted,positive,0.5,0
ads,negative,0.728,1
adult,positive,1.316,11
adults,positive,1.183,7
advance,positive,0.728,1
advantage,positive,0.5,0
advent,positive,0.728,1
adverse,negative,1.222,8
advert,negative,0.5,0
advertised,negative,0.5,0
advertising,negative,0.5,0
adverts,negative,0.5,0
advice,positive,1.39,14
advise,positive,0.861,2
advised,positive,0.861,2
advisers,positive,0.5,0
advising,positive,0.728,1
advisors,positive,0.955,3
advisory,positive,0.728,1
advocate,positive,0.5,0
advocating,positive,0.728,1
affairs,ambiguous,0.955,3
affect,negative,1.183,7
affected,negative,1.139,6
affecting,negative,0.5,0
affects,negative,1.222,8
afford,positive,0.861,2
afraid,negative,1.45,17
aged,negative,1.183,7
agency,positive,0.5,0
agenda,ambiguous,1.431,16
agent,ambiguous,0.955,3
aggressive,negative,0.955,3
agree,positive,1.618,29
agreed,positive,0.955,3
agreeing,positive,0.728,1
agreement,positive,0.861,2
agrees,positive,0.861,2
ahead,positive,1.367,13
aid,positive,0.861,2
aids,negative,0.728,1
aim,positive,0.5,0
ain't,negative,1.183,7
airborne,negative,0.728,1
alarm,negative,0.5,0
alarming,negative,0.5,0
alcohol,negative,1.257,9
alert,negative,0.728,1
alive,positive,0.955,3
alleged,negative,0.728,1
allegedly,negative,0.5,0
allergic,negative,0.861,2
allergies,negative,0.5,0
allergy,negative,0.5,0
alliance,positive,0.955,3
allow,positive,1.316,11
allowed,positive,1.583,26
allowing,positive,1.029,4
allows,positive,0.728,1
alone,negative,1.484,19
alongside,positive,0.955,3
alpha,negative,1.029,4
alright,positive,0.728,1
alternative,positive,0.955,3
although,negative,1.316,11
always,ambiguous,0.5,0
amazing,positive,1.39,14
ambulance,negative,0.861,2
amount,ambiguous,1.183,7
amounts,ambiguous,0.5,0
analogy,positive,0.728,1
analysis,positive,0.955,3
anecdotal,negative,0.728,1
anger,negative,1.183,7
angry,negative,1.411,15
animal,negative,0.955,3
animals,negative,0.5,0
anniversary,positive,0.5,0
announce,positive,1.411,15
announced,positive,0.861,2
announcement,positive,1.029,4
announces,positive,0.861,2
announcing,positive,0.861,2
annoyed,negative,0.5,0
annoying,negative,1.089,5
annual,positive,1.257,9
annually,positive,0.5,0
anonymous,negative,0.728,1
answer,positive,1.544,23
answered,positive,0.955,3
answers,positive,0.955,3
anti,negative,1.798,51
antibiotics,positive,1.139,6
antibodies,positive,1.728,41
antibody,positive,1.089,5
