"country","date","text"
"United Kingdom","12/11/2021","black and white thinking this group includes the millions who have already had Covid recovered now have natural immunity to the virus which is far superior than any vaccine "
"United Kingdom","12/11/2021","i'll admit I do both I'd never rely just on lft but given speed not of postal PCR I don't drive public transport with suspected Covid is antisocial i'll lft first and PCR I'd take either being positive as a positive"
"United Kingdom","12/11/2021","on what data are you basing your statement that natural immunity is lifelong I read a lot of the small amount of research available which mostly concludes natural immunity starts dropping off at about months I'm months post infection and have long Covid so interested"
"United Kingdom","12/11/2021","are you one of them I'm interested to know if you had Covid and how bad my friend is in the samehad Covid recently he's fine now but felt quite ill at the time"
"United Kingdom","12/11/2021","I had jabs and severe Covid and talking about it so in your opinion I'm trying to please antivax people bull"
"United Kingdom","12/11/2021","see robert kennedy jr must of this stuff originates from him and his friend"
"United Kingdom","12/11/2021","so will the jab stop your natural Covid response immunity from working"
"United Kingdom","12/11/2021","special I went to a and e many years ago with abcess they gave me antibiotics but because of Covid might be different I feel so bad for you seems like some docs ain't bothered anymore "
"United Kingdom","12/11/2021","the vaccines are leaky ie you can catch and transmit Covid this isn't on par with previous vaccines which block transmission and infection if omicron gives antibodies which it should then the weakening of Covid it's almost assured variants rarely get stronger"
"United Kingdom","12/11/2021","what if you've had two jabs months ago and had Covid a month ago is that equivalent to having a booster catching Covid and having more natural antibodies does anyone know thanks"
"United Kingdom","12/11/2021","you probably have an answer but yes you can upload the qr fr nhs app travel version to the tous anticovid app iphone"
"The Netherlands","12/11/2021","your statement is also correct but depends on the virus infection for example hepatitis a will have severe consequences so I'm jabbed if ebola was spreading I would take a jabfor Covid the riskbenefit analyses is a bit different"
"United Kingdom","12/11/2021"," antivaxers take to the streets in newcastle against Covid passes"
"United Kingdom","12/11/2021","Covid deniers and antivaccine people have been brainwashed blame facebook"
"United Kingdom","12/11/2021"," Covid really kicked my sorry last summer it's it horrible virus try and relax as much as possible avoid stress take antiinflammatories vitamins and don't be afraid to ask for help best wishes red heart"
"United Kingdom","12/11/2021"," I am kind of wondering once christmas is out the way and all my family mixing is over and I have still got antibody thickened syrup blood from my booster that it might be a time to just say fuck it and go out and mix and get infected while at my most anticovid powerful"
"United Kingdom","12/11/2021"," I am not an antivaxer at all but I have not and will not have a Covid vaccine it's a personal choice and people shouldn't be alienated or discriminated for doing what they want or thinks best for them please can we all stop judging each other thanks smiling face with smiling eyes"
"United Kingdom","12/11/2021"," I am out so much the next couple of weeks and I am due to fly out end of the month petrified on catching Covid which may ruin plans wearing a mask everywhere you antivaxers won't ruin my fun"
"United Kingdom","12/11/2021"," I notice that for all your look at me you failed to answer my question which was if the jab will not reduce your natural Covid immunity why not have it"
"United Kingdom","12/11/2021"," I think you will find she is concerned about her brother and perhaps herself is she is jabbed just because she is making a statement just because someone is questioning the Covid vaccines doesn't mean they are antivaxers get it into your head"
"United Kingdom","12/11/2021"," omicron and Covid in general if you're unvaccinated you're a viral variant fac tory and a threat to the lives of others if you're an antivaxer in my opinion you're a health terrorist just saying"
"United Kingdom","12/11/2021"," so pfizer created the Covid virus so that months later they could create a vaccine which they would protect people from the worst effects of the virus they created we're astrazenica in on it too and johnson johnson"
"United Kingdom","12/11/2021","against Brexit the major contributing factor along with the Covid pandemic to nhs staff shortages but that doesn't fit with your antiscottish rhetoric"
"United Kingdom","12/11/2021","an antivaxer as prime minister I'll passport"
"United Kingdom","12/11/2021","and as I mentioned earlier in the week anyone who is antipass taking their views out on the poor kid at spurs on min wage asked heck for them deserves to be thrown off the sky walk"
"United Kingdom","12/11/2021","and this chap he was a nurse who was antivax you'll notice I'm using the past tense"
"United Kingdom","12/11/2021","anticovid passport march today in ldn around in attendance with a huge variety of beliefsfrom some claiming there is lile evidence this policy will help vaccine uptake to others pushing misinfo that illuminati is behind Covid in order to depopulate through vaccine horror"
"United Kingdom","12/11/2021","antivax nurse practitioner died of Covid obviously"
"United Kingdom","12/11/2021"," antivaxer do that for a week and maybe I'll be impressed man takes Covid vaccine shots in single day"
"Germany","12/11/2021"," antivaxers and horse pasters also feel very strongly and fine about Covid"
"United Kingdom","12/11/2021"," antivaxers have got a bleak future no entry to loads of public places no holidays abroad without isolation shunned by the rest of society for prolonging the pandemic if you fall seriously ill covid let's hope you'll have to pay your own medical bills good luck face with tears of joy"
"United Kingdom","12/11/2021","any restrictions that treat unvaccinated vaccinated the same will be unenforceable the public will not stand for it drew and I followed the rules right through and surrounded by antivaxers and Covid deniers and rule breakers time for the government to distinguish and get sorted"
"United Kingdom","12/11/2021","as a member of the conservative party I hope that you are voting against the increase in Covid restrictions that the government are trying to push on the pplits against everything we stand for it's unscientific antilibertyand just cruel the people have had enough "
"United Kingdom","12/11/2021","Boris Johnson you should go into Covid-19 wards every time an antivaxer is shown alive after being vv ill on tv they say they'd wished they'd been vaxedask themsee the deaths before youyou d be surprisedive lost several friendsand others I knew through work it s not a prey picture"
"United Kingdom","12/11/2021","but in a profession as huge as medicine you'll find exceptions here's another antivax nurse she's dead now"
"Germany","12/11/2021","but it's not actually new the media called the first antiCovid protest ers early in nazis even if they showed mostly elderly men and women on the street being counter protest ed by the usual antifa rabble rousers that just seek out opportunities for violence "
"United Kingdom","12/11/2021","but turning it into a do don't work question is very much the tactic used by antivaxers virtually no vaccine is effective but they are an essential tool in tackling Covid I also suspect that vaccines will be tweaked to target omicron more effectively in time"
"United Kingdom","12/11/2021","california official says she was stalked by members of an antivaccine group by by vimal patel via new york times"
"Belgium","12/11/2021","can you cite any evidence to support your claim that natural immunity is far super ior to any vaccine here's what the british society for immunology and the UK coronavirus immunology consortium"
"United Kingdom","12/11/2021","cheese and wine no not you lot whining on about not being able to say goodbye to grannie dying of Covid we work hard at our second jobs we need to get ratarsed before there's another last minute lockdown so much for the pretence that leave was antiestablishment"
"United Kingdom","12/11/2021","corrupted by twitter not taken down"
"United Kingdom","12/11/2021","Covid riot police deploy water cannon and tear gas against anti lockdown protest ers in brussels world news Belgian police used antivaxer "
"United Kingdom","12/11/2021","Covid vaccine free I have had many other vaccines I am not antivax just antithis jab that is not fully tested"
"United Kingdom","12/11/2021","David Jones conservatives will destroy each other anticovid restriction is more important to some than country s future it could mean dead end if labour we're to get in infighting can make it happen like it happened in the last days of thatcher well done shame on you"
"United Kingdom","12/11/2021","deaths there all real people Covid in some way has killed them and there families for ever people need to open there eyes at the real truths not the lies from antibrigade"
"United Kingdom","12/11/2021","don't be ridiculous corbyn has from the start been saying we need to make the vaccine patent free so that more of the world could get vaxed earlier hardly the call of an antivaxer now"
"United Kingdom","12/11/2021","doomsday scenario a tory leadership bale run along Covid lines with the tory membership backing antipublic health measure candidates"
"United Kingdom","12/11/2021","elderly friends of mine are Covid deniers antivaxers they believe in the power of their immune systems and don't trust science guess who now both have Covid they won't admit name it they are calling it the bug but will say they got a lft I have no words"
"United Kingdom","12/11/2021","eu struggling Brexit performing labour leadership in taters no direction no policy all the antiboris stuff is hate caigning to distract from what's really been achieved as Covid platform melts surely as Brexit platform did beneath the oppositions feet"
"United Kingdom","12/11/2021","even though the gb declaration doctors are in the main provaccine they demand an end to mass Covid vaccines but they are still being labelled as antivaxers by the lazy people who collaborate with tyranny"
"United Kingdom","12/11/2021","first of all the cowardly antivax community we're frightened that the Covid vaccination s would turn them into lizards or whatever in year s time now they're peddling the misinfo that the vaccines only last months can't make their minds up can they"
"United Kingdom","12/11/2021","for those of you saying she's antivax antivax is not the same as anticovid passport this is about proportionate evidence based policy making that protects rather than divides us it's about the protection of hard won civil liberties thanks see you at no on"
"United Kingdom","12/11/2021","gbnews false you don't want Covid to end the antieverything brigade are keeping this pandemic going the antieverything brigade are punishing killing normal people who did do everything right shame on the lot of you selfish people"
"United Kingdom","12/11/2021","given too much airtime to air half truths and antiprotection measures of his so called Covid recovery group"
"United Kingdom","12/11/2021","government pushing booster s to get rid of the stock they've purchased Covid antibodies will negate the need"
"Ireland","12/11/2021","Have you had a chance to look at content of my posts to provide thoughts yet also have written you aren't anticovid vaccine only the passports bit worried about the public message you send out when you thank a person for a post that includes the vaccines are useless"
"Germany","12/11/2021","haven't been paying much attention to the specifics of holocaust denial besides knowing it exits in some crazy corners but if you just scratch the surface the parallels covid denial and antivax are well undeniable"
"United Kingdom","12/11/2021","here's an idea if Covid is all a hoax why don't the antimentalists who think they're critical thinkers go to a Covid ward without ppe or anything after all it's a hoax ain't it or is it a bad flu move the goalposts more than our inept government mental bastards"
"United Kingdom","12/11/2021","here's the plan if you're an antivaxer don't follow me don't engage with me just scroll on by and I'll do the same with you okay thank you thumbs up writingcommunity Covid vaccine "
"Austria","12/11/2021","he's antivax "
"Ireland","12/11/2021","hey twitter stop promoting antivax and antivaccine passport people to me they obviously don't care about me or anyone else"
"United Kingdom","12/11/2021","hi twitter awake family been quiet for the evening crying face couldn't focus sorry me hubby had a massive row turned into a right slanging match unfortunately he's a boris lover thinks anticovid peeps including me are nut cases etc I feel lost disappointed face"
"United Kingdom","12/11/2021","how britain fell to the conspiracy movementent"
"United Kingdom","12/11/2021","how can I be antivax when I have had Covid shots been in forces so had numerous shots incl anthrax which also made me ill my whole family is vaxed not an antivax I'm anticonfusing messages with political will and cloak and dagger deals oh and yes they made me ill"
"United Kingdom","12/11/2021","how do antivaxers lain stories like this it's not a one off many antivaxers have died of Covid regreing not having the vaccine it doesn't make sense dono mply antivaxers svo tvy h"
"United Kingdom","12/11/2021","how many antivaxers have to die of Covid before they realise they are on the wrong side"
"Germany","12/11/2021","i actually thought a lot about antivax idiots this year cause I have had so many in my own family by now they've all either given into the pressure or they've had Covid"
"United Kingdom","12/11/2021","I agree with you about vacine don't agree with Covid certs etc but these antivax people you can't aue with there right everyone else is wrong I do what's best for my family and keeping people close to me safe end of day if the tory sboris showed leadership might help"
"United Kingdom","12/11/2021","I believe he's too focused on the interests of wealthy individuals who are funding groups such as the Covid Recovery Group are about constituents.His work on behalf of the Legatum institute and the E are perfect examples of him putting ambition first"
"United Kingdom","12/11/2021","I got beer things to do than challenge cognitive dissonance on twitter good luck to the jab junkies btw I ain t antivax but all this Covid crap is one big pharma scamdemic the evidence and information found outside of the mainstream is overwhelming"
"United Kingdom","12/11/2021","I have Covid now I have had it before and I have had two jabs I couldn't give a flying fuck if someone doesn't want a jab I'm no conspiracy theorist no antivaxer but these rules and what's happening in Europe and australia simply don't make sense why isn't it being addressed"
"France","12/11/2021","I have had an antiflu vaccine each year each time updated for variants each one has given me some proetection against flu Covid is massively more infectious therefore more prevalent it can then mutate quicker than flu poss requiring updated vax"
"United Kingdom","12/11/2021","i know people who have been jabbed then quite ill with Covid antivaxers take this to mean the vaccine doesn't work but it equally means that they could have been one of the unlucky ones and ended up in hospital I know healthy younger people who did prevaccine none since"
"United Kingdom","12/11/2021","i still maintain that antivaxers are moronic you can't have a rational conversation with them they come up with illogical garbage like you can't get Covid if you don't get tested "
"United Kingdom","12/11/2021","I think a lot of antivax do change their mind once they get admitted to hospital with Covid or if one of their close family dies from Covid all a bit too late by then sadly"
"United Kingdom","12/11/2021","I was antivax anti lockdown I got Covid weeks ago double vaxed only a few months earlier I'm and feel stop being an idiot no one wants this but I wouldn't wish how I feel on anyone grow up"
"United Kingdom","12/11/2021","i wish an anti lockdown tory could take my Covid from me and experience what it's like no justice that someone like me who has been sensible and safe all pandemic is now suffering badly while people who have been living normal lives without a care act as if Covid doesn't exist"
"Germany","12/11/2021","if I we're to list the most sorry stupid words I heard this year antivaxer would be at the very top most of those who choose not to take this treatment are not antivaccine sthe quote is perfectly valid to me in relation to the Covid vaccine mandates too"
"Ireland","12/11/2021","if you look into it there have been various issues causing sudden death in sports people which has been rising long before Covid antivaxers are using it as a weapon to aack vaccination with but quite a high of sports people are not vaxed"
"France","12/11/2021","if you oppose a vaccine requirement you are an antivaxer an official nbc news survey by hart research found that of american adults opposed requiring everyone who is now eligible must get a Covid vaccine it appears half of americans are now officially antivaxers "
"United Kingdom","12/11/2021","if you read the comments on any bbc s tory related covid jabs or booster s and I'd recommend not doing so there seems to be a consensus that the bbc is pro Covid pro lockdown pro mask pro jab pro booster s and antiboris peoples heads have completely fucking gone"
"Germany","12/11/2021","i'm observing the same in Germany a left wing coalition got into power the new justice minister is alrdy labeling antiCovid protest ers as hate criminals wants to prosecute them as suchin Germany we have no laws specifically for hate crime"
"United Kingdom","12/11/2021","in the one I retweeted oh and I'm not a antivaccine and I have had vaccines never told anyone not to get the vaccines and if I had I would likely be deadand no one has told me I should have it so you lied twice"
"United Kingdom","12/11/2021","interesting but then just a shouty antivaxer "
"United Kingdom","12/11/2021","it's bonkers but so is the governments idea that vaccine passports will make any difference they only show that you have taken measures to protect yourself for being seriously ill you can still catch Covid and passport it on antivaxers are only kidding themselves and their families"
"United Kingdom","12/11/2021","it's depressing how ubiquitous the antivaccine counter science movement has become it's costing lives eroding confidence in public health and hindering general knowledge we should all challenge quackery and fallacy omicron Covid antivax the demon haunted world"
"United Kingdom","12/11/2021","it's not an antiCovid protest I am not in theof lunatics like piers corbyn"
"United Kingdom","12/11/2021","its pm on saturday in the UK and UK labour is still institutionally antisemitic and therefore racist passport it on"
"United Kingdom","12/11/2021","it's the ir regular presenter but they are responsible for content yet again broadcasting antimask lie that holes in masks are thousands of times bIgGer than the Covid virus particles in fact the virus is carried on droplet's which mask is barrier to"
"United Kingdom","12/11/2021","johnson supported Brexit backed vote leave in the UK EU membership refjohnson has described the governments response covid as a campaign of fearand in no risk capital partners funded a media consultant for the Covid recovery group of anti lockdown mps"
"United Kingdom","12/11/2021","just found out someone I worked with and respected is deeply anticovid vaccine"
"United Kingdom","12/11/2021","labour allies with extreme right tory libertarians to get vote against johnson lose protection against Covid he then goes for vote of confidence gets itwe lose protection right wing antisocial libertarians johnson win maj of population who support new measures blame"
"The Netherlands","12/11/2021","like with all viral infections you should vaccinate cause the risk of dying while infected very high in other cases your own defenses are always super iorso with Covid in nl not an issue for of the population it's insane to force them to take a jab"
